ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
256;60;Delay in Paying Off in the Past;Radio/TV;7418;No Savings Account;1-3 years;1;None;1;27;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[677, 616, 134, 332, 945, 569, 130, 444, 295, 116, 706, 226, 968, 36]
257;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2684;Less than 100 DM;1-3 years;4;None;2;35;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[654, 567, 963, 322, 845, 453, 904, 198, 160, 827, 284, 597, 192, 253]
258;12;All Credits at This Bank Paid Back Duly;Radio/TV;2149;Less than 100 DM;1-3 years;4;None;1;29;Free Housing;1;Skilled;1;Yes;male;divorced/separated;2;[932, 125, 127, 857, 222, 923, 601, 553, 782, 745, 178, 960, 129, 937]
259;15;Existing Credits Paid Back Duly Till Now;Used car;3812;100-500 DM;less than 1 year;1;None;4;23;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[410, 144, 470, 842, 614, 731, 972, 565, 724, 775, 93, 593, 596, 727]
260;11;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1154;100-500 DM;Unemployed;4;None;4;57;Ownership;3;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[849, 590, 33, 263, 90, 429, 448, 396, 967, 848, 94, 91, 754, 680]
261;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1657;Less than 100 DM;1-3 years;2;None;2;27;Ownership;1;Skilled;1;Yes;male;single;1;[490, 207, 383, 686, 878, 820, 358, 510, 409, 329, 745, 403, 472, 201]
262;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1603;Less than 100 DM;more than 6 years;4;None;4;55;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[928, 482, 955, 975, 54, 83, 798, 800, 62, 514, 16, 13, 781, 541]
263;18;Critical Account / Other Credits Existing at Other Bank;New car;5302;Less than 100 DM;more than 6 years;2;None;4;36;Free Housing;3;Highly Skilled;1;Yes;male;single;1;[772, 507, 824, 453, 198, 904, 302, 158, 648, 537, 597, 564, 352, 469]
264;12;Critical Account / Other Credits Existing at Other Bank;Education;2748;Less than 100 DM;more than 6 years;2;None;4;57;Free Housing;3;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[849, 259, 429, 590, 33, 90, 448, 396, 967, 94, 91, 975, 754, 584]
265;10;Critical Account / Other Credits Existing at Other Bank;New car;1231;Less than 100 DM;more than 6 years;3;None;4;32;Ownership;2;Unskilled - Resident;2;No;male;single;1;[488, 515, 897, 247, 941, 151, 413, 892, 494, 270, 696, 850, 314, 173]
266;15;Existing Credits Paid Back Duly Till Now;Radio/TV;802;Less than 100 DM;more than 6 years;4;None;3;37;Ownership;1;Skilled;2;Yes;male;single;2;[365, 625, 162, 997, 566, 38, 361, 681, 651, 493, 461, 473, 947, 463]
267;36;Critical Account / Other Credits Existing at Other Bank;Business;6304;No Savings Account;more than 6 years;4;None;4;36;Ownership;2;Skilled;1;Yes;male;single;1;[868, 778, 415, 879, 411, 888, 571, 893, 628, 7, 870, 776, 622, 787]
268;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1533;Less than 100 DM;less than 1 year;4;None;3;38;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[790, 546, 437, 592, 537, 904, 824, 729, 772, 453, 503, 30, 862, 198]
269;14;Existing Credits Paid Back Duly Till Now;New car;8978;Less than 100 DM;more than 6 years;1;None;4;45;Ownership;1;Highly Skilled;1;No;male;divorced/separated;2;[42, 659, 971, 520, 939, 833, 292, 80, 387, 48, 884, 791, 851, 106]
270;24;Existing Credits Paid Back Duly Till Now;Radio/TV;999;No Savings Account;more than 6 years;4;None;2;25;Ownership;2;Skilled;1;Yes;male;single;1;[534, 965, 245, 481, 248, 872, 636, 764, 533, 630, 579, 500, 847, 455]
271;18;Existing Credits Paid Back Duly Till Now;New car;2662;No Savings Account;4-6 years;4;None;3;32;Ownership;1;Skilled;1;No;male;single;1;[696, 314, 173, 941, 247, 515, 140, 850, 351, 806, 897, 264, 488, 290]
272;12;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1402;500-1000 DM;4-6 years;3;None;4;37;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[135, 697, 734, 617, 103, 757, 586, 119, 377, 759, 681, 747, 519, 803]
273;48;All Credits at This Bank Paid Back Duly;New car;12169;No Savings Account;Unemployed;4;Co-applicant;4;36;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[921, 657, 549, 927, 78, 563, 685, 829, 973, 375, 672, 5, 285, 938]
274;48;Existing Credits Paid Back Duly Till Now;Radio/TV;3060;Less than 100 DM;4-6 years;4;None;4;28;Ownership;2;Skilled;1;Yes;male;single;2;[999, 242, 286, 35, 11, 639, 667, 789, 145, 1, 706, 998, 194, 780]
275;30;Existing Credits Paid Back Duly Till Now;Repairs;11998;Less than 100 DM;less than 1 year;1;None;1;34;Ownership;1;Unskilled - Resident;1;Yes;male;divorced/separated;2;[450, 684, 895, 395, 744, 832, 57, 70, 63, 180, 763, 915, 291, 496]
276;9;Existing Credits Paid Back Duly Till Now;Radio/TV;2697;Less than 100 DM;1-3 years;1;None;2;32;Ownership;1;Skilled;2;Yes;male;single;1;[165, 278, 898, 767, 318, 595, 305, 909, 185, 210, 995, 916, 689, 462]
277;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2404;Less than 100 DM;1-3 years;2;None;2;26;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[385, 690, 698, 319, 640, 819, 86, 480, 834, 679, 575, 920, 364, 691]
278;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1262;No Savings Account;more than 6 years;2;None;4;49;Ownership;1;Unskilled - Resident;1;Yes;male;divorced/separated;1;[502, 281, 994, 664, 695, 611, 356, 750, 2, 485, 581, 303, 20, 619]
279;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;4611;Less than 100 DM;less than 1 year;1;None;4;32;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[275, 165, 767, 898, 305, 995, 318, 916, 689, 595, 909, 185, 339, 782]
280;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1901;100-500 DM;1-3 years;4;None;4;29;Rented;1;Highly Skilled;1;Yes;male;single;1;[694, 408, 692, 235, 40, 50, 935, 841, 442, 142, 366, 174, 338, 558]
281;15;Critical Account / Other Credits Existing at Other Bank;Used car;3368;More than 1000 DM;more than 6 years;3;None;4;23;Rented;2;Skilled;1;Yes;male;single;1;[992, 342, 104, 82, 425, 655, 512, 531, 727, 258, 296, 979, 367, 809]
282;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1574;Less than 100 DM;1-3 years;4;None;2;50;Ownership;1;Skilled;1;Yes;male;single;1;[502, 994, 277, 611, 664, 695, 750, 356, 486, 241, 77, 581, 2, 485]
283;18;All Credits at This Bank Paid Back Duly;Radio/TV;1445;No Savings Account;4-6 years;4;None;4;49;Ownership;1;Unskilled - Resident;1;Yes;male;single;1;[133, 81, 609, 635, 149, 891, 354, 588, 844, 427, 326, 835, 581, 502]
284;15;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;1520;No Savings Account;more than 6 years;4;None;4;63;Ownership;1;Skilled;1;Yes;male;single;1;[807, 769, 123, 449, 219, 987, 360, 883, 589, 816, 760, 544, 976, 624]
285;24;Critical Account / Other Credits Existing at Other Bank;New car;3878;100-500 DM;less than 1 year;4;None;2;37;Ownership;1;Skilled;1;Yes;male;divorced/separated;1;[160, 198, 503, 158, 963, 453, 192, 845, 654, 256, 564, 253, 469, 597]
286;47;Existing Credits Paid Back Duly Till Now;New car;10722;Less than 100 DM;less than 1 year;1;None;1;35;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[467, 921, 5, 272, 657, 375, 552, 549, 395, 287, 685, 563, 945, 915]
287;48;Existing Credits Paid Back Duly Till Now;Used car;4788;Less than 100 DM;4-6 years;4;None;3;26;Ownership;1;Skilled;2;Yes;male;single;1;[11, 273, 242, 999, 667, 35, 639, 1, 789, 145, 706, 998, 194, 332]
288;48;Delay in Paying Off in the Past;Used car;7582;100-500 DM;Unemployed;2;None;4;31;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[467, 36, 552, 569, 981, 945, 191, 116, 986, 968, 444, 255, 616, 285]
289;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1092;Less than 100 DM;1-3 years;4;Guarantor;4;49;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[801, 944, 600, 732, 251, 139, 61, 900, 345, 157, 71, 551, 398, 933]
290;24;Delay in Paying Off in the Past;Radio/TV;1024;Less than 100 DM;less than 1 year;4;None;4;48;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[989, 978, 702, 607, 669, 956, 844, 65, 961, 560, 843, 839, 214, 712]
291;12;Existing Credits Paid Back Duly Till Now;Business;1076;Less than 100 DM;1-3 years;2;None;2;26;Ownership;1;Skilled;1;No;male;married/widowed;1;[117, 806, 24, 140, 351, 859, 930, 906, 407, 173, 314, 613, 696, 850]
292;36;Existing Credits Paid Back Duly Till Now;Used car;9398;Less than 100 DM;less than 1 year;1;None;4;28;Rented;1;Highly Skilled;1;Yes;male;married/widowed;2;[180, 983, 70, 812, 57, 496, 645, 805, 953, 684, 895, 771, 450, 131]
293;24;Critical Account / Other Credits Existing at Other Bank;Used car;6419;Less than 100 DM;more than 6 years;2;None;4;44;Free Housing;2;Highly Skilled;2;Yes;female;divorced/separated/married;1;[971, 520, 939, 791, 42, 833, 268, 659, 387, 80, 491, 881, 211, 880]
294;42;Critical Account / Other Credits Existing at Other Bank;Used car;4796;Less than 100 DM;more than 6 years;4;None;4;56;Free Housing;1;Skilled;1;Yes;male;single;1;[728, 813, 29, 44, 808, 815, 522, 374, 378, 788, 373, 95, 650, 115]
295;48;Critical Account / Other Credits Existing at Other Bank;Business;7629;No Savings Account;more than 6 years;4;None;2;46;Ownership;2;Highly Skilled;2;Yes;male;divorced/separated;1;[3, 814, 701, 509, 115, 615, 828, 854, 87, 304, 650, 538, 788, 902]
296;48;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;9960;Less than 100 DM;less than 1 year;1;None;2;26;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[226, 333, 134, 714, 130, 616, 887, 63, 637, 915, 945, 832, 255, 744]
297;12;Existing Credits Paid Back Duly Till Now;Used car;4675;No Savings Account;less than 1 year;1;None;4;20;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[746, 367, 831, 420, 761, 585, 926, 249, 707, 655, 386, 727, 425, 865]
298;10;Existing Credits Paid Back Duly Till Now;New car;1287;No Savings Account;more than 6 years;4;Co-applicant;2;45;Ownership;1;Unskilled - Resident;1;No;male;single;1;[871, 156, 516, 22, 325, 494, 892, 413, 151, 488, 264, 897, 515, 247]
299;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2515;Less than 100 DM;1-3 years;3;None;4;43;Ownership;1;Skilled;1;Yes;male;single;1;[399, 899, 948, 652, 404, 631, 940, 539, 668, 712, 839, 867, 545, 901]
300;21;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2745;More than 1000 DM;4-6 years;3;None;2;32;Ownership;2;Skilled;1;Yes;male;single;1;[223, 718, 740, 169, 423, 886, 918, 914, 535, 321, 547, 942, 863, 599]
301;6;Existing Credits Paid Back Duly Till Now;New car;672;Less than 100 DM;Unemployed;1;None;4;54;Ownership;1;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;1;[885, 680, 246, 754, 584, 379, 72, 91, 209, 94, 177, 200, 147, 396]
302;36;No Credits Taken / All Credits Paid Back Duly;Radio/TV;3804;Less than 100 DM;1-3 years;4;None;1;42;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[822, 368, 74, 46, 392, 501, 716, 239, 68, 164, 370, 882, 98, 996]
303;24;Critical Account / Other Credits Existing at Other Bank;New car;1344;No Savings Account;4-6 years;4;None;2;37;Ownership;2;Unskilled - Resident;2;Yes;male;single;2;[648, 503, 158, 198, 284, 160, 453, 772, 790, 262, 904, 824, 267, 380]
304;10;Critical Account / Other Credits Existing at Other Bank;New car;1038;Less than 100 DM;4-6 years;4;Co-applicant;3;49;Ownership;2;Skilled;1;Yes;male;single;1;[2, 619, 356, 485, 581, 422, 20, 823, 835, 502, 277, 635, 61, 398]
305;48;Critical Account / Other Credits Existing at Other Bank;New car;10127;500-1000 DM;1-3 years;2;None;2;44;Free Housing;1;Skilled;1;Yes;male;single;2;[615, 538, 509, 854, 902, 87, 3, 294, 653, 814, 701, 938, 818, 672]
306;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1543;More than 1000 DM;1-3 years;4;None;2;33;Ownership;1;Skilled;1;Yes;male;divorced/separated;1;[339, 995, 782, 767, 898, 178, 278, 318, 275, 165, 222, 125, 932, 127]
307;30;Existing Credits Paid Back Duly Till Now;Used car;4811;No Savings Account;4-6 years;2;None;4;24;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[572, 340, 804, 911, 347, 208, 952, 79, 312, 168, 341, 770, 739, 417]
308;12;Existing Credits Paid Back Duly Till Now;Radio/TV;727;100-500 DM;less than 1 year;4;None;3;33;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;2;[638, 92, 244, 991, 34, 720, 238, 663, 394, 128, 416, 159, 506, 348]
309;8;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1237;Less than 100 DM;1-3 years;3;None;4;24;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[708, 471, 604, 931, 934, 836, 550, 610, 12, 102, 167, 873, 67, 632]
310;9;Existing Credits Paid Back Duly Till Now;New car;276;Less than 100 DM;1-3 years;4;None;4;22;Rented;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[436, 363, 905, 540, 203, 660, 122, 752, 979, 513, 721, 47, 864, 795]
311;48;Existing Credits Paid Back Duly Till Now;Used car;5381;No Savings Account;Unemployed;3;None;4;40;Free Housing;1;Unemployed / Unskilled  - Non-Resident;1;Yes;male;single;1;[938, 672, 829, 538, 622, 973, 568, 927, 78, 870, 73, 653, 304, 787]
312;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;5511;100-500 DM;1-3 years;4;None;1;25;Ownership;1;Skilled;1;Yes;male;single;1;[477, 748, 670, 202, 31, 860, 620, 384, 558, 338, 739, 208, 142, 174]
313;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3749;Less than 100 DM;less than 1 year;2;None;4;26;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[911, 340, 64, 802, 523, 79, 229, 605, 896, 405, 743, 966, 495, 630]
314;12;Existing Credits Paid Back Duly Till Now;New car;685;Less than 100 DM;4-6 years;2;None;3;25;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;2;[713, 574, 201, 762, 741, 434, 403, 52, 39, 472, 810, 435, 821, 510]
315;4;Existing Credits Paid Back Duly Till Now;New car;1494;No Savings Account;less than 1 year;1;None;2;29;Ownership;1;Unskilled - Resident;2;No;male;single;1;[173, 351, 270, 140, 696, 806, 941, 850, 290, 247, 515, 117, 24, 407]
316;36;All Credits at This Bank Paid Back Duly;Furniture/Equipment;2746;Less than 100 DM;more than 6 years;4;None;4;31;Ownership;1;Skilled;1;Yes;male;single;2;[528, 687, 530, 328, 993, 583, 141, 840, 877, 181, 148, 735, 603, 511]
317;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;708;Less than 100 DM;1-3 years;2;Guarantor;3;38;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[709, 651, 25, 473, 344, 38, 997, 493, 463, 957, 204, 990, 361, 566]
318;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;4351;No Savings Account;1-3 years;1;None;4;48;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[683, 958, 669, 397, 978, 211, 956, 961, 80, 989, 901, 65, 214, 289]
319;12;Critical Account / Other Credits Existing at Other Bank;Education;701;Less than 100 DM;1-3 years;4;None;2;32;Ownership;2;Skilled;1;Yes;male;single;1;[185, 898, 995, 275, 305, 767, 621, 782, 278, 710, 165, 339, 894, 682]
320;15;Delay in Paying Off in the Past;Furniture/Equipment;3643;Less than 100 DM;more than 6 years;1;None;4;27;Ownership;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[385, 364, 276, 640, 698, 679, 521, 834, 690, 480, 819, 751, 143, 86]
321;30;Critical Account / Other Credits Existing at Other Bank;New car;4249;Less than 100 DM;Unemployed;4;None;2;28;Ownership;2;Highly Skilled;1;Yes;male;married/widowed;2;[9, 658, 118, 468, 665, 988, 69, 753, 735, 51, 603, 951, 578, 907]
322;24;Existing Credits Paid Back Duly Till Now;Radio/TV;1938;Less than 100 DM;less than 1 year;4;None;3;32;Ownership;1;Skilled;1;Yes;male;divorced/separated;2;[918, 855, 169, 704, 740, 547, 577, 942, 974, 299, 15, 718, 433, 755]
323;24;Existing Credits Paid Back Duly Till Now;Used car;2910;Less than 100 DM;4-6 years;2;None;1;34;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[827, 256, 654, 904, 845, 597, 567, 453, 963, 737, 469, 97, 824, 886]
324;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2659;More than 1000 DM;1-3 years;4;None;2;28;Ownership;1;Skilled;1;Yes;male;single;1;[858, 962, 982, 557, 861, 442, 390, 53, 353, 401, 418, 841, 224, 112]
325;18;Critical Account / Other Credits Existing at Other Bank;New car;1028;Less than 100 DM;1-3 years;4;None;3;36;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[30, 189, 826, 452, 170, 705, 109, 457, 184, 785, 592, 537, 852, 166]
326;8;Critical Account / Other Credits Existing at Other Bank;New car;3398;Less than 100 DM;4-6 years;1;None;4;39;Ownership;2;Unskilled - Resident;1;No;male;single;1;[516, 494, 892, 413, 297, 151, 871, 156, 22, 488, 264, 897, 515, 247]
327;12;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;5801;No Savings Account;more than 6 years;2;None;4;49;Rented;1;Skilled;1;Yes;male;single;1;[56, 227, 796, 282, 662, 77, 560, 133, 702, 843, 844, 793, 773, 994]
328;24;Existing Credits Paid Back Duly Till Now;New car;1525;More than 1000 DM;4-6 years;4;None;3;34;Ownership;1;Skilled;2;Yes;female;divorced/separated/married;1;[414, 577, 15, 602, 172, 433, 419, 862, 755, 535, 729, 855, 974, 423]
329;36;Existing Credits Paid Back Duly Till Now;Radio/TV;4473;Less than 100 DM;more than 6 years;4;None;2;31;Ownership;1;Skilled;1;Yes;male;single;1;[993, 530, 528, 315, 840, 583, 141, 687, 877, 181, 511, 671, 148, 735]
330;6;Existing Credits Paid Back Duly Till Now;Radio/TV;1068;Less than 100 DM;more than 6 years;4;None;4;28;Ownership;1;Skilled;2;Yes;male;single;1;[510, 820, 60, 383, 792, 878, 913, 673, 810, 472, 358, 403, 201, 409]
331;24;Critical Account / Other Credits Existing at Other Bank;Used car;6615;Less than 100 DM;Unemployed;2;None;4;75;Free Housing;2;Highly Skilled;1;Yes;male;single;1;[163, 917, 606, 846, 186, 430, 554, 779, 756, 187, 0, 536, 715, 629]
332;18;Critical Account / Other Credits Existing at Other Bank;Education;1864;100-500 DM;1-3 years;4;None;2;30;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[161, 483, 526, 556, 401, 388, 861, 920, 390, 857, 894, 858, 129, 982]
333;60;Existing Credits Paid Back Duly Till Now;New car;7408;100-500 DM;less than 1 year;4;None;2;24;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[677, 706, 255, 130, 134, 1, 616, 444, 667, 226, 295, 116, 145, 569]
334;48;Critical Account / Other Credits Existing at Other Bank;Used car;11590;100-500 DM;1-3 years;2;None;4;24;Rented;2;Unskilled - Resident;1;Yes;female;divorced/separated/married;2;[295, 226, 887, 714, 63, 637, 130, 134, 915, 832, 744, 616, 953, 57]
335;24;No Credits Taken / All Credits Paid Back Duly;Furniture/Equipment;4110;Less than 100 DM;more than 6 years;3;None;4;23;Rented;2;Skilled;2;Yes;male;single;2;[218, 570, 359, 618, 724, 93, 341, 593, 168, 770, 731, 347, 470, 565]
336;6;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3384;Less than 100 DM;1-3 years;1;None;4;44;Rented;1;Highly Skilled;1;Yes;male;divorced/separated;2;[176, 929, 412, 867, 345, 206, 21, 933, 139, 150, 518, 693, 479, 23]
337;13;Existing Credits Paid Back Duly Till Now;Radio/TV;2101;Less than 100 DM;less than 1 year;2;Guarantor;4;23;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[524, 233, 970, 346, 220, 587, 561, 489, 505, 811, 954, 777, 85, 55]
338;15;Existing Credits Paid Back Duly Till Now;Domestic appliances;1275;No Savings Account;1-3 years;4;None;2;24;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[221, 10, 111, 869, 985, 721, 582, 922, 197, 817, 797, 623, 752, 513]
339;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;4169;Less than 100 DM;1-3 years;4;None;4;28;Ownership;1;Skilled;1;Yes;male;single;1;[558, 620, 31, 748, 142, 670, 174, 366, 311, 477, 408, 202, 279, 841]
340;10;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1521;Less than 100 DM;1-3 years;4;None;2;31;Ownership;1;Unskilled - Resident;1;Yes;male;divorced/separated;1;[782, 305, 178, 995, 222, 932, 127, 125, 923, 767, 257, 898, 937, 318]
341;24;Critical Account / Other Credits Existing at Other Bank;Education;5743;Less than 100 DM;less than 1 year;2;None;4;24;Free Housing;2;Skilled;1;Yes;female;divorced/separated/married;1;[911, 572, 306, 312, 208, 79, 804, 952, 347, 912, 523, 229, 802, 605]
342;21;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3599;Less than 100 DM;4-6 years;1;None;4;26;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[168, 770, 570, 347, 359, 334, 218, 952, 733, 724, 618, 593, 93, 523]
343;18;Existing Credits Paid Back Duly Till Now;Radio/TV;3213;500-1000 DM;less than 1 year;1;None;3;25;Rented;1;Skilled;1;Yes;male;married/widowed;1;[992, 425, 280, 655, 82, 367, 104, 585, 296, 746, 420, 727, 831, 731]
344;18;Existing Credits Paid Back Duly Till Now;Business;4439;Less than 100 DM;more than 6 years;1;Co-applicant;1;33;Ownership;1;Highly Skilled;1;Yes;male;single;1;[459, 107, 216, 53, 224, 598, 454, 559, 32, 717, 962, 853, 689, 749]
345;10;Existing Credits Paid Back Duly Till Now;New car;3949;Less than 100 DM;less than 1 year;1;Guarantor;1;37;Ownership;1;Unskilled - Resident;2;Yes;male;single;1;[447, 25, 38, 651, 28, 316, 566, 799, 473, 365, 709, 461, 119, 162]
346;15;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1459;Less than 100 DM;1-3 years;4;None;2;43;Ownership;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[139, 933, 206, 900, 176, 335, 479, 867, 23, 484, 732, 929, 600, 251]
347;13;Critical Account / Other Credits Existing at Other Bank;Radio/TV;882;Less than 100 DM;less than 1 year;4;Guarantor;4;23;Ownership;2;Skilled;1;Yes;male;single;1;[970, 587, 220, 489, 233, 336, 505, 811, 524, 55, 561, 954, 85, 777]
348;24;Existing Credits Paid Back Duly Till Now;Radio/TV;3758;500-1000 DM;Unemployed;1;None;4;23;Rented;1;Unemployed / Unskilled  - Non-Resident;1;Yes;female;divorced/separated/married;1;[341, 168, 770, 952, 570, 359, 334, 218, 572, 733, 618, 724, 306, 523]
349;6;Delay in Paying Off in the Past;Business;1743;100-500 DM;1-3 years;1;None;2;34;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[210, 159, 909, 595, 394, 462, 34, 244, 128, 307, 663, 720, 638, 92]
350;9;Critical Account / Other Credits Existing at Other Bank;Education;1136;More than 1000 DM;more than 6 years;4;None;3;32;Free Housing;2;Skilled;2;Yes;male;single;2;[711, 519, 803, 852, 170, 432, 238, 759, 195, 92, 720, 103, 663, 45]
351;9;Existing Credits Paid Back Duly Till Now;Domestic appliances;1236;Less than 100 DM;less than 1 year;1;None;4;23;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[837, 795, 47, 922, 633, 513, 111, 797, 623, 817, 391, 155, 752, 372]
352;9;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;959;Less than 100 DM;1-3 years;1;None;2;29;Ownership;1;Skilled;1;No;female;divorced/separated/married;2;[140, 806, 314, 173, 290, 117, 270, 696, 24, 407, 850, 906, 859, 941]
353;18;Critical Account / Other Credits Existing at Other Bank;Used car;3229;No Savings Account;Unemployed;2;None;4;38;Ownership;1;Highly Skilled;1;Yes;male;single;1;[642, 369, 400, 262, 919, 100, 947, 950, 648, 790, 361, 772, 380, 537]
354;12;No Credits Taken / All Credits Paid Back Duly;Radio/TV;6199;Less than 100 DM;1-3 years;4;None;2;28;Rented;2;Skilled;1;Yes;male;single;2;[112, 32, 224, 107, 53, 454, 557, 962, 323, 841, 442, 719, 459, 858]
355;10;Existing Credits Paid Back Duly Till Now;Education;727;500-1000 DM;more than 6 years;4;None;4;46;Free Housing;1;Skilled;1;Yes;male;single;1;[635, 81, 726, 588, 835, 925, 891, 823, 149, 427, 422, 398, 157, 485]
356;24;Existing Credits Paid Back Duly Till Now;New car;1246;Less than 100 DM;less than 1 year;4;None;2;23;Ownership;1;Unskilled - Resident;1;Yes;male;single;2;[634, 120, 405, 743, 966, 605, 866, 229, 143, 64, 466, 500, 495, 364]
357;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2331;No Savings Account;more than 6 years;1;Co-applicant;4;49;Ownership;1;Skilled;1;Yes;male;single;1;[303, 2, 581, 502, 485, 619, 281, 277, 20, 422, 994, 611, 835, 664]
358;36;Delay in Paying Off in the Past;Radio/TV;4463;Less than 100 DM;1-3 years;4;None;2;26;Ownership;2;Highly Skilled;1;Yes;male;single;2;[230, 152, 907, 225, 476, 780, 217, 101, 578, 194, 951, 148, 603, 998]
359;12;Existing Credits Paid Back Duly Till Now;Radio/TV;776;Less than 100 DM;1-3 years;4;None;2;28;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[936, 492, 820, 60, 913, 329, 499, 451, 260, 196, 490, 792, 389, 562]
360;30;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2406;Less than 100 DM;4-6 years;4;None;4;23;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[570, 218, 334, 724, 618, 341, 168, 593, 770, 93, 347, 731, 565, 596]
361;18;Existing Credits Paid Back Duly Till Now;Education;1239;No Savings Account;1-3 years;4;None;4;61;Free Housing;1;Skilled;1;Yes;male;single;1;[760, 624, 179, 283, 807, 769, 237, 987, 838, 678, 213, 589, 449, 8]
362;12;Existing Credits Paid Back Duly Till Now;Radio/TV;3399;No Savings Account;more than 6 years;2;None;3;37;Ownership;1;Highly Skilled;1;Yes;male;single;1;[947, 990, 997, 265, 651, 493, 709, 38, 463, 473, 440, 566, 681, 365]
363;12;Delay in Paying Off in the Past;New car;2247;Less than 100 DM;1-3 years;2;None;2;36;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[45, 238, 103, 195, 747, 586, 759, 432, 92, 244, 119, 506, 617, 711]
